name,description,calories,protein,carbs,fat,fiber,sugar,diet_id
Гръцка салата с фета,"Пресни домати, краставици, маслини, лук и сирене фета с маслиново масло",320,12,15,24,4,8,1
Печена сьомга с лимони,"Сьомга с лимонов сок, мащерка и маслиново масло",450,35,2,32,0,1,1
Киноа с зеленчуци,"Киноа с печени чушки, патладжани и домати",380,14,58,10,6,4,1
Хумус с пълнозърнести крекери,"Доматен хумус с пълнозърнести крекери",280,10,35,12,8,3,1
Гръцки йогурт с мед и ядки,"Пълномаслен гръцки йогурт с мед и бадеми",250,15,25,10,3,20,1
Яйца с бекон и авокадо,"3 яйца, 2 ленти бекон и половин авокадо",520,28,4,42,7,1,2
Пилешко с броколи и сирене,"Пилешко филе с броколи и чедър сирене",480,45,6,32,3,2,2
Сьомга с спанак и масло,"Печена сьомга със спанак и масло",420,38,3,28,2,1,2
Кето салата с майонеза,"Зелена салата с пилешко, авокадо и домашна майонеза",380,30,5,28,4,2,2
Кето чизкейк,"Чизкейк без захар с ядки",320,12,8,28,4,2,2
Веганска овсяна каша,"Овес с банани, ядки и веганско мляко",350,12,55,12,8,18,3
Червена леща с ориз,"Леща с ориз и зеленчуци",420,18,72,6,15,4,3
Тофу с броколи,"Печен тофу с броколи и соев сос",380,28,25,20,6,5,3
Веганска салата с киноа,"Киноа с нут, домати, краставици и веганска дресинг",340,14,52,10,9,6,3
Вегански смути боул,"Смути боул с банани, ягоди, чиа семена и кокосово мляко",320,8,45,12,10,28,3
Пилешко с батати,"Печено пилешко с печени батати и зеленчуци",480,42,35,18,6,12,4
Сьомга с авокадо салата,"Печена сьомга с авокадо, рукола и ядки",450,35,12,32,8,4,4
Яйца с авокадо и сланина,"Яйца на очи с авокадо и палео сланина",420,24,8,32,7,2,4
Телешко с печени зеленчуци,"Телешко филе с печени чушки и патладжани",520,48,15,28,6,8,4
Палмова салата с ядки,"Палмова салата с орехи, бадеми и олио",380,12,18,32,6,6,4
Голяма закуска с яйца,"3 яйца, бекон, авокадо и пълнозърнен хляб",580,32,35,35,8,4,5
Пилешко с ориз и зеленчуци,"Пилешко филе с кафяв ориз и микс от зеленчуци",520,45,55,12,6,5,5
Сьомга с киноа,"Печена сьомга с киноа и печени зеленчуци",480,38,42,18,6,3,5
Протеинов смути,"Протеинов прах, банани, ядки и мляко",420,35,38,15,5,22,5
Салата с пилешко,"Голяма салата с пилешко, авокадо и дресинг",380,35,25,18,8,6,5
Овсяна каша с ягоди,"Пълнозърнена овсяна каша с ягоди и ядки",320,12,52,8,8,12,6
Пилешко с батати и броколи,"Печено пилешко с батати и броколи",450,38,45,12,8,10,6
Риба с ориз и зеленчуци,"Печена риба с кафяв ориз и микс от зеленчуци",420,32,48,10,6,4,6
Йогурт с плодове,"Нискомасен йогурт с банани и ягоди",280,18,38,4,4,28,6
Салата с нут,"Салата с нут, домати, краставици и нискомасна дресинг",340,15,52,8,12,8,6
